season,date,away.team,away.score,home.team,home.score,line,over_under
2015,2015-11-13,COLO,62,ISU,68,-10.0,151.0
2015,2015-11-13,SDAK,69,WRST,77,-6.5,136.0
2015,2015-11-13,WAG,57,SJU,66,-5.5,142.0
2015,2015-11-13,JVST,83,CMU,89,-18.0,142.5
2015,2015-11-13,NIAG,50,ODU,67,-18.0,132.0
2015,2015-11-13,ALBY,65,UK,78,-20.0,132.5
2015,2015-11-13,TEM,67,UNC,91,-9.5,145.0
2015,2015-11-13,NKU,61,WVU,107,-23.5,147.5
2015,2015-11-13,SIE,74,DUKE,92,-24.0,155.0
2015,2015-11-13,WCU,72,CIN,97,-20.0,132.0
2015,2015-11-13,MSM,56,MD,80,-21.5,140.0
2015,2015-11-13,CHAT,92,UGA,90,-10.5,136.0
2015,2015-11-13,SEMO,53,DAY,84,-19.0,140.0
2015,2015-11-13,DART,67,HALL,84,-11.0,136.0
2015,2015-11-13,CAN,85,HOF,96,-10.5,150.5
2015,2015-11-13,JMU,87,RICH,75,-9.0,137.5
2015,2015-11-13,EIU,49,IND,88,-25.0,150.0
2015,2015-11-13,FAU,55,MSU,82,-23.5,141.0
2015,2015-11-13,SAM,45,LOU,86,-23.0,142.0
2015,2015-11-13,MIOH,72,XAV,81,-15.5,144.5
2015,2015-11-13,PRIN,64,RID,56,1.0,137.0
2015,2015-11-13,IUPU,72,INST,70,-8.0,135.5
2015,2015-11-13,SAC,66,ASU,63,-18.0,144.0
2015,2015-11-13,AFA,75,SIU,77,-5.5,131.0
2015,2015-11-13,UNCO,72,KU,109,-29.0,147.5
2015,2015-11-13,BALL,53,BRAD,54,3.0,135.0
2015,2015-11-13,USD,45,USC,83,-12.5,140.0
2015,2015-11-13,UTM,57,OKST,91,-12.0,141.5
2015,2015-11-13,COR,81,GT,116,-17.0,130.0
2015,2015-11-13,MOST,65,ORU,80,-4.5,133.5
2015,2015-11-13,DREX,81,JOES,82,-9.5,127.5
2015,2015-11-13,WMRY,85,NCST,68,-12.5,149.0
2015,2015-11-13,SF,78,UIC,75,1.5,148.5
2015,2015-11-13,PEAY,41,VAN,80,-24.5,144.0
2015,2015-11-13,CSN,71,NIU,83,-9.5,134.5
2015,2015-11-13,UCSB,60,OMA,59,-2.5,157.5
2015,2015-11-13,UTSA,64,LOYI,76,-14.0,138.5
2015,2015-11-13,BRWN,65,SPU,77,-2.0,130.5
2015,2015-11-13,NAU,70,WSU,82,-10.5,145.0
2015,2015-11-13,TROY,82,SF,77,-8.0,138.5
2015,2015-11-13,ELON,85,CHAR,74,-5.0,146.5
2015,2015-11-13,NDSU,79,UCD,71,3.0,132.5
2015,2015-11-13,IPFW,64,VALP,78,-17.0,137.0
2015,2015-11-13,USU,73,WEB,70,-2.5,141.5
2015,2015-11-13,BEL,83,MARQ,80,-6.0,144.5
2015,2015-11-13,GB,89,STAN,93,-8.0,144.0
