date,nflx,amzn,fb,aapl,googl,cash
2016-08-19,-19940.96,-19690.059999999998,-19893.16,19903.52,-19991.25,581.0500000000065
2016-08-20,-19940.96,-19690.059999999998,-19893.16,19903.52,-19991.25,581.0500000000065
2016-08-21,-19940.96,-19690.059999999998,-19893.16,19903.52,-19991.25,581.0500000000065
2016-08-22,-19940.96,19746.48,19988.15,-19965.84,-19991.25,364.0300000000061
2016-08-23,19955.52,19746.48,19988.15,19919.55,-19923.75,472.88000000000466
2016-08-24,-19987.800000000003,-19688.5,-20003.760000000002,-19985.55,-19914.75,-57.0199999999968
2016-08-25,19853.28,19739.72,19822.4,-19985.55,-19840.0,774.6800000000003
2016-08-26,19853.28,19739.72,19822.4,-19900.449999999997,19830.5,774.6800000000003
2016-08-27,19906.32,19994.0,19993.6,-19783.899999999998,19830.5,774.6800000000003
2016-08-28,19906.32,19994.0,19993.6,-19783.899999999998,19830.5,774.6800000000003
2016-08-29,-20043.8,19994.0,19993.6,-19783.899999999998,19830.5,580.0800000000017
2016-08-30,20074.7,-19957.08,-20008.56,-19761.699999999997,-19798.0,705.9200000000019
2016-08-31,20074.7,19998.16,19926.96,19946.8,-19798.0,513.7400000000052
2016-09-01,-19962.899999999998,19998.16,19926.96,19946.8,19785.0,611.1200000000063
2016-09-02,-19962.899999999998,20036.12,19934.86,20065.24,19785.0,611.1200000000063
2016-09-03,-19962.899999999998,20083.440000000002,19988.58,20253.24,19921.75,611.1200000000063
2016-09-04,-19962.899999999998,20083.440000000002,19988.58,20253.24,19921.75,611.1200000000063
2016-09-05,-19962.899999999998,20083.440000000002,19988.58,20253.24,19921.75,611.1200000000063
2016-09-06,20118.09,20083.440000000002,19988.58,-20139.9,19921.75,1119.1800000000076
2016-09-07,-20424.9,-20396.48,20497.34,20480.04,-20199.75,406.7100000000064
2016-09-08,20430.3,-20396.48,-20452.390000000003,-20470.88,-20199.75,109.04000000000087
2016-09-09,-20361.5,-20385.559999999998,-20452.390000000003,-20470.88,-20071.0,-469.9599999999991
2016-09-10,-20361.5,-19763.64,-19954.7,-20007.219999999998,-19712.0,-469.9599999999991
2016-09-11,-20361.5,-19763.64,-19954.7,-20007.219999999998,-19712.0,-469.9599999999991
2016-09-12,19810.0,19287.25,19818.26,19822.72,19171.68,3208.6100000000006
2016-09-13,-20178.9,-19786.26,-20099.18,19822.72,-19718.0,189.13999999999942
2016-09-14,19984.06,19788.34,19932.12,20294.600000000002,19761.5,832.7200000000012
2016-09-15,19984.06,19788.34,19932.12,21012.76,19761.5,832.7200000000012
2016-09-16,20052.04,20011.940000000002,20022.6,-20455.760000000002,-19949.25,1981.9199999999983
2016-09-17,20492.88,20241.52,20134.92,-20455.760000000002,-19949.25,1981.9199999999983
2016-09-18,20492.88,20241.52,20134.92,-20455.760000000002,-19949.25,1981.9199999999983
2016-09-19,-20592.600000000002,-20152.600000000002,-20584.0,-20455.760000000002,-19949.25,1075.079999999998
2016-09-20,20436.0,20285.72,-20584.0,-20217.239999999998,19994.5,1271.579999999998
2016-09-21,-20494.079999999998,20285.72,20530.52,-20215.46,19994.5,772.4200000000019
2016-09-22,20507.62,20533.24,20530.52,20516.98,20125.75,849.4600000000028
2016-09-23,20507.62,20922.2,-20729.52,-20738.64,-20374.0,-225.92999999999665
2016-09-24,20531.16,20949.5,-20729.52,-20738.64,-20374.0,-225.92999999999665
2016-09-25,20531.16,20949.5,-20729.52,-20738.64,-20374.0,-225.92999999999665
2016-09-26,-20614.08,-19979.0,-20729.52,20544.16,-20374.0,420.75
