date,name,order,quantity,price
2016-08-19,nflx,se,-1,95.87
2016-08-19,amzn,se,-1,757.31
2016-08-19,fb,se,-1,123.56
2016-08-19,aapl,le,1,109.36
2016-08-19,googl,se,-1,799.65
2016-08-22,amzn,sx,1,759.48
2016-08-22,amzn,le,1,759.48
2016-08-22,fb,sx,1,124.15
2016-08-22,fb,le,1,124.15
2016-08-22,aapl,lx,-1,108.51
2016-08-22,aapl,se,-1,108.51
2016-08-23,nflx,sx,1,95.94
2016-08-23,nflx,le,1,95.94
2016-08-23,aapl,sx,1,108.85
2016-08-23,aapl,le,1,108.85
2016-08-24,nflx,lx,-1,95.18
2016-08-24,nflx,se,-1,95.18
2016-08-24,amzn,lx,-1,757.25
2016-08-24,amzn,se,-1,757.25
2016-08-24,fb,lx,-1,123.48
2016-08-24,fb,se,-1,123.48
2016-08-24,aapl,lx,-1,108.03
2016-08-24,aapl,se,-1,108.03
2016-08-25,nflx,sx,1,97.32
2016-08-25,nflx,le,1,97.32
2016-08-25,amzn,sx,1,759.22
2016-08-25,amzn,le,1,759.22
2016-08-25,fb,sx,1,123.89
2016-08-25,fb,le,1,123.89
2016-08-26,googl,sx,1,793.22
2016-08-26,googl,le,1,793.22
2016-08-29,nflx,lx,-1,97.3
2016-08-29,nflx,se,-1,97.3
2016-08-30,nflx,sx,1,97.45
2016-08-30,nflx,le,1,97.45
2016-08-30,amzn,lx,-1,767.58
2016-08-30,amzn,se,-1,767.58
2016-08-30,fb,lx,-1,125.84
2016-08-30,fb,se,-1,125.84
2016-08-30,googl,lx,-1,791.92
2016-08-30,googl,se,-1,791.92
2016-08-31,amzn,sx,1,769.16
2016-08-31,amzn,le,1,769.16
2016-08-31,fb,sx,1,126.12
2016-08-31,fb,le,1,126.12
2016-08-31,aapl,sx,1,106.1
2016-08-31,aapl,le,1,106.1
2016-09-01,nflx,lx,-1,97.38
2016-09-01,nflx,se,-1,97.38
2016-09-01,googl,sx,1,791.4
2016-09-01,googl,le,1,791.4
2016-09-06,nflx,sx,1,100.09
2016-09-06,nflx,le,1,100.09
2016-09-06,aapl,lx,-1,107.7
2016-09-06,aapl,se,-1,107.7
2016-09-07,nflx,lx,-1,99.15
2016-09-07,nflx,se,-1,99.15
2016-09-07,amzn,lx,-1,784.48
2016-09-07,amzn,se,-1,784.48
2016-09-07,aapl,sx,1,108.36
2016-09-07,aapl,le,1,108.36
2016-09-07,googl,lx,-1,807.99
2016-09-07,googl,se,-1,807.99
2016-09-08,nflx,sx,1,99.66
2016-09-08,nflx,le,1,99.66
2016-09-08,fb,lx,-1,130.27
2016-09-08,fb,se,-1,130.27
2016-09-08,aapl,lx,-1,105.52
2016-09-08,aapl,se,-1,105.52
2016-09-09,nflx,lx,-1,96.5
2016-09-09,nflx,se,-1,96.5
2016-09-12,nflx,sx,1,99.05
2016-09-12,nflx,le,1,99.05
2016-09-12,amzn,sx,1,771.49
2016-09-12,amzn,le,1,771.49
2016-09-12,fb,sx,1,128.69
2016-09-12,fb,le,1,128.69
2016-09-12,aapl,sx,1,105.44
2016-09-12,aapl,le,1,105.44
2016-09-12,googl,sx,1,798.82
2016-09-12,googl,le,1,798.82
2016-09-13,nflx,lx,-1,96.09
2016-09-13,nflx,se,-1,96.09
2016-09-13,amzn,lx,-1,761.01
2016-09-13,amzn,se,-1,761.01
2016-09-13,fb,lx,-1,127.21
2016-09-13,fb,se,-1,127.21
2016-09-13,googl,lx,-1,788.72
2016-09-13,googl,se,-1,788.72
2016-09-14,nflx,sx,1,97.01
2016-09-14,nflx,le,1,97.01
2016-09-14,amzn,sx,1,761.09
2016-09-14,amzn,le,1,761.09
2016-09-14,fb,sx,1,127.77
2016-09-14,fb,le,1,127.77
2016-09-14,googl,sx,1,790.46
2016-09-14,googl,le,1,790.46
2016-09-16,aapl,lx,-1,114.92
2016-09-16,aapl,se,-1,114.92
2016-09-16,googl,lx,-1,797.97
2016-09-16,googl,se,-1,797.97
2016-09-19,nflx,lx,-1,98.06
2016-09-19,nflx,se,-1,98.06
2016-09-19,amzn,lx,-1,775.1
2016-09-19,amzn,se,-1,775.1
2016-09-19,fb,lx,-1,128.65
2016-09-19,fb,se,-1,128.65
2016-09-20,nflx,sx,1,98.25
2016-09-20,nflx,le,1,98.25
2016-09-20,amzn,sx,1,780.22
2016-09-20,amzn,le,1,780.22
2016-09-20,googl,sx,1,799.78
2016-09-20,googl,le,1,799.78
2016-09-21,nflx,lx,-1,94.88
2016-09-21,nflx,se,-1,94.88
2016-09-21,fb,sx,1,129.94
2016-09-21,fb,le,1,129.94
2016-09-22,nflx,sx,1,95.83
2016-09-22,nflx,le,1,95.83
2016-09-22,aapl,sx,1,114.62
