date,amount,price,symbol
2016-08-19,-208.0,95.87,nflx
2016-08-19,-26.0,757.31,amzn
2016-08-19,-161.0,123.56,fb
2016-08-19,182.0,109.36,aapl
2016-08-19,-25.0,799.65,googl
2016-08-22,26.0,759.48,amzn
2016-08-22,26.0,759.48,amzn
2016-08-22,161.0,124.15,fb
2016-08-22,161.0,124.15,fb
2016-08-22,-182.0,108.51,aapl
2016-08-22,-184.0,108.51,aapl
2016-08-23,208.0,95.94,nflx
2016-08-23,208.0,95.94,nflx
2016-08-23,184.0,108.85,aapl
2016-08-23,183.0,108.85,aapl
2016-08-24,-208.0,95.18,nflx
2016-08-24,-210.0,95.18,nflx
2016-08-24,-26.0,757.25,amzn
2016-08-24,-26.0,757.25,amzn
2016-08-24,-161.0,123.48,fb
2016-08-24,-162.0,123.48,fb
2016-08-24,-183.0,108.03,aapl
2016-08-24,-185.0,108.03,aapl
2016-08-25,210.0,97.32,nflx
2016-08-25,204.0,97.32,nflx
2016-08-25,26.0,759.22,amzn
2016-08-25,26.0,759.22,amzn
2016-08-25,162.0,123.89,fb
2016-08-25,160.0,123.89,fb
2016-08-26,25.0,793.22,googl
2016-08-26,25.0,793.22,googl
2016-08-29,-204.0,97.3,nflx
2016-08-29,-206.0,97.3,nflx
2016-08-30,206.0,97.45,nflx
2016-08-30,206.0,97.45,nflx
2016-08-30,-26.0,767.58,amzn
2016-08-30,-26.0,767.58,amzn
2016-08-30,-160.0,125.84,fb
2016-08-30,-159.0,125.84,fb
2016-08-30,-25.0,791.92,googl
2016-08-30,-25.0,791.92,googl
2016-08-31,26.0,769.16,amzn
2016-08-31,26.0,769.16,amzn
2016-08-31,159.0,126.12,fb
2016-08-31,158.0,126.12,fb
2016-08-31,185.0,106.1,aapl
2016-08-31,188.0,106.1,aapl
2016-09-01,-206.0,97.38,nflx
2016-09-01,-205.0,97.38,nflx
2016-09-01,25.0,791.4,googl
2016-09-01,25.0,791.4,googl
2016-09-06,205.0,100.09,nflx
2016-09-06,201.0,100.09,nflx
2016-09-06,-188.0,107.7,aapl
2016-09-06,-187.0,107.7,aapl
2016-09-07,-201.0,99.15,nflx
