Date,Open,High,Low,Close,Volume
2017-03-01,853.05,854.83,849.01,853.08,2752000
2017-03-02,853.08,854.82,847.28,848.91,2129200
2017-03-03,847.20,851.99,846.27,849.88,1941100
2017-03-06,845.23,848.49,841.12,846.61,2598400
2017-03-07,845.48,848.46,843.75,846.02,2217800
2017-03-08,848.00,853.07,846.79,850.50,2286500
2017-03-09,851.00,856.40,850.31,853.00,2040600
2017-03-10,857.00,857.35,851.72,852.46,2422000
2017-03-13,851.77,855.69,851.71,854.59,1906100
2017-03-14,853.55,853.75,847.55,852.53,2128700
2017-03-15,854.33,854.45,847.11,852.97,2556700
2017-03-16,855.30,855.50,850.51,853.42,1832600
2017-03-17,853.49,853.83,850.64,852.31,3380700
2017-03-20,851.51,857.80,851.01,856.97,2223300
2017-03-21,858.84,862.80,841.31,843.20,4349100
2017-03-22,840.43,849.37,839.05,848.06,2636200
2017-03-23,848.20,850.89,844.80,847.38,1945700
2017-03-24,851.68,851.80,843.53,845.61,2118300
2017-03-27,838.07,850.30,833.50,846.82,2754200
2017-03-28,851.75,858.46,850.10,856.00,3033000
2017-03-29,859.05,876.44,859.02,874.32,4464400
2017-03-30,874.95,877.06,871.66,876.34,2745800
2017-03-31,877.00,890.35,876.65,886.54,3910700
